 Electrocouplings are printed-out in this file in the following format:
 iBootstrap,Q^2 [GeV^2], AE3_[Delta], AM3_[Delta], AS3_[Delta], A12_[P11(1440)], S12_[P11(1440)], A12_[D13(1520)], A32[D13(1520)], S12_[D13(1520)], A12_[S11(1535)], S12_[S11(1535)]
   1    0.400000   -0.115272    4.803000   -0.249756  -19.700001   34.799999  -59.700001   67.599998  -43.599998   92.900002  -15.900000
   1    0.750000   -0.063764    3.356000   -0.224852    8.947500   33.767502  -66.542503   51.377499  -37.107498   90.834999  -13.187500
   1    1.450000   -0.047000    1.880000   -0.180480   48.270103   32.586891  -46.832367   26.768465  -16.710756   79.607620  -23.752218
   1    3.000000   -0.015939    0.693000   -0.079002   40.568588   13.901496  -29.966511    9.253189   -2.292500   51.205074  -12.228299
   1    4.160000   -0.011619    0.418922   -0.065371   23.100000   17.500000  -20.900000    4.600000   -0.700000   31.799999   -8.900000
   2    0.400000   -0.118969    4.843867   -0.267117  -17.697218   30.126482  -56.747459   68.994896  -42.073357   91.118362  -15.163646
   2    0.750000   -0.066304    3.433538   -0.211373   17.316584   33.060745  -56.793251   46.268600  -39.594532   80.327591   -3.012961
   2    1.450000   -0.069244    2.072958   -0.168797   52.183487   24.272419  -40.950077   20.024912  -16.113966   80.858307  -33.051506
   2    3.000000   -0.014439    0.675490   -0.076653   36.966816   10.812248  -26.684685   10.189116   -1.894231   45.987576   -8.859436
   2    4.160000   -0.004866    0.447455   -0.072149   23.732014   13.343019  -27.266590    0.965015   -4.070823   20.726145   -4.636804
   3    0.400000   -0.141500    4.961820   -0.248427  -19.009281   37.917717  -60.081161   69.084251  -43.955444   93.661713  -13.478621
   3    0.750000   -0.061165    3.337491   -0.223471    3.573477   35.152943  -66.944435   52.390514  -35.192463   82.751503  -10.403466
   3    1.450000   -0.047721    1.728764   -0.163671   53.498409   21.170572  -47.936241   23.125212  -16.633064   85.729126  -28.702053
   3    3.000000   -0.011946    0.663451   -0.080081   36.190487    9.323177  -28.169491   10.565961   -4.917397   53.147713  -11.790108
   3    4.160000   -0.017774    0.455454   -0.073160   23.628126   14.373597  -26.927664    4.468413    4.945611   37.470055   -7.604953
   4    0.400000   -0.120511    4.872991   -0.238647  -21.098124   39.048378  -59.762276   66.461281  -35.079136   90.478378  -14.870059
   4    0.750000   -0.056828    3.388064   -0.218918    0.497227   33.672371  -73.020058   51.363316  -32.040497   86.274391  -20.420172
   4    1.450000   -0.052303    1.874614   -0.173154   58.622337   26.446085  -46.816303   21.541687  -19.836670   95.080566  -30.780521
   4    3.000000   -0.013801    0.622673   -0.072315   45.563610   12.397343  -27.706161    4.733613    1.258022   49.820473  -14.552158
   4    4.160000   -0.008781    0.412863   -0.061061   23.882011   14.556174  -24.848051   10.846152   -5.535478   23.571119  -19.377811
   5    0.400000   -0.118417    4.778800   -0.259887  -19.639463   29.543179  -58.702976   65.745636  -42.534634   94.239311  -11.418753
   5    0.750000   -0.086474    3.353031   -0.218060   11.658937   32.512283  -57.553242   56.903690  -41.348583   97.379921  -16.614258
   5    1.450000   -0.059724    1.846453   -0.185981   50.413593   35.087959  -49.364632   26.276567  -17.011171   69.403877  -17.864809
   5    3.000000   -0.019351    0.717424   -0.082562   41.380009   10.756831  -29.760798   12.990697   -2.223122   54.219090  -10.955786
   5    4.160000   -0.008595    0.416339   -0.064146   24.020752   16.472290  -14.030821    8.959232    0.799974   20.555103   -0.056633
   6    0.400000   -0.116754    4.845724   -0.259288  -18.625702   37.363411  -60.548065   71.163750  -46.384567   97.301849  -16.054174
   6    0.750000   -0.035969    3.419362   -0.230975    6.095486   41.513103  -67.243385   51.921684  -40.003212   89.224892  -15.739879
   6    1.450000   -0.055025    1.900001   -0.183056   45.461151   36.588318  -50.477283   25.778574  -11.245537   81.795609  -27.775471
   6    3.000000   -0.018755    0.699395   -0.084485   39.790344   17.681208  -34.768425    7.188922   -4.233394   50.763065  -13.844492
   6    4.160000   -0.014463    0.397106   -0.067530   21.347479   15.321324  -16.894926   -4.784310  -11.322232   31.989452   -0.590565
   7    0.400000   -0.110696    4.643235   -0.239154  -22.671829   36.095177  -61.556511   64.894562  -39.224987   90.803276  -21.649096
   7    0.750000   -0.054329    3.458756   -0.219017    5.537271   30.685980  -73.083321   50.927708  -39.648048   90.227882  -16.210670
   7    1.450000   -0.050886    1.941234   -0.185610   46.855183   30.386950  -44.931133   26.602505  -15.036602   79.352753  -26.847578
   7    3.000000   -0.013938    0.678813   -0.084728   41.489716   11.041734  -27.315565    8.159493    2.650743   50.422462  -10.855036
   7    4.160000   -0.017061    0.430135   -0.071829   26.032055   12.803472  -30.033834   10.611691    0.790630   36.805923  -26.668945
   8    0.400000   -0.105599    4.601295   -0.242812  -23.000069   37.280106  -58.703960   62.759068  -42.046803   90.273415  -22.724682
   8    0.750000   -0.067984    3.334792   -0.241268   -2.153076   21.682165  -71.022537   48.396984  -36.469536   82.699638  -15.673216
   8    1.450000   -0.039443    1.901542   -0.197000   49.977253   28.859785  -43.393681   26.528257  -19.068199   78.743637  -27.895416
   8    3.000000   -0.021091    0.707360   -0.077394   36.957710    8.797192  -32.980148   14.733124   -2.556013   55.955948   -3.670210
   8    4.160000   -0.013241    0.443997   -0.069101   20.253613   26.925158  -19.358320   11.389216    3.254775   28.068247  -10.998189
   9    0.400000   -0.101978    4.678626   -0.221716  -20.196127   38.385227  -64.553062   68.808578  -46.555595   96.934013  -18.550142
   9    0.750000   -0.059958    3.241354   -0.211920   11.385717   21.764042  -76.906158   42.466457  -32.234539   88.993118  -16.081079
