 Resonance parameters for I=1/2 states are printed-out in this file in the following format:
 Q2[GeV^2], W[GeV], Res.-name, Mass[GeV], Gamma_total[GeV], Gamma_Pion[GeV] 
 ---------------------------------------------------
    1.450000    1.530000     F15(1680)        1.6849999428        0.0499407575        0.0374653414
    1.450000    1.530000     P13(1720)        1.7200000286        0.0876290649        0.0184955020
    1.450000    1.530000     F17(1990)        1.9900000095        0.0294373333        0.0036356514
    1.450000    1.530000     D15(1675)        1.6749999523        0.0672538057        0.0336303152
    1.450000    1.530000     P11(1710)        1.7100000381        0.0451971367        0.0094404351
    1.450000    1.530000     P13(1900)        1.8999999762        0.1472227871        0.0451322012
    1.450000    1.530000     D13(2080)        1.9700000286        0.0449849479        0.0081701241
    1.450000    1.530000     F15(2000)        2.0000000000        0.0154600078        0.0003386047
 ---------------------------------------------------
    3.000000    1.230000     P11(1440)        1.4400000572        0.0525679477        0.0524667278
    3.000000    1.230000     S11(1535)        1.5349999666        0.0508971214        0.0508971214
